Title,Author,Imprint,Subject,Shelf Location,Held,Catalogued - Syd,Catalogued - Bri
Officewise,Victorian Workcover Authority,"Melbourne: Victorian Workcover Authority, 1997",Occupational Health and Safety|Office Buildings,Reference,Sydney,12/12/2012,
Officewise,Comcare Australia,"Canberra: Comcare Australia, 2008",Occupational Health and Safety|Office Buildings,Reference,Sydney,25/06/2009,
"Official report of the Games of the XXV Olympiad Barcelona 1992 Volume 2 The means : objectives, resources and venues",,"Barcelona: COOB, 1992",Olympic Games - Spain - Barcelona,796.480946 OFF,Sydney,3/05/2006,
"Official report of the XXV11 Olympiad Sydney 2000 Vol1-3
Report of the IOC Evaluation Commission for the Games of the XXIX Olympiad in 2008
Sydney Olympic Park images guidelines (No 4448)
Toronto 2008 Rendez-vous du monde (expect the world)",,,Olympic Games - China - Beijing|Sydney Olympics 2000|Olympic Games - Canada - Toronto,Archives SYD02543401,Sydney,12/06/2007,
"Oh, you beautiful stage: benchmarks for performing arts centres",Arts Victoria|Victorian Association of Performing Arts Centres,"Victoria : Victorian Association of Performing Arts Centres, 1999; 2006 revision",,725. 83 VIC,Brisbane,,16/03/2012
Olympic architecture : building Sydney 2000,"Bingham-Hall, Patrick","Sydney: Watermark Press, 1999",Sydney Olympics 2000|Sports Buildings - Australia|Olympic Games - Architecture,796.48099441 BIN,Brisbane|Sydney,20/02/2006,
Olympic architecture: Beijing 2008,Beijing Institute of Architectural Design (ed),"Beijing: China Architecture & Building Press [Basel: Birkhauser], 2008",Olympic Games - China - Beijing,796.480951 OLY,Sydney,31/08/2009,
Olympic buildings,"Wimmer, M","Germany: Leipzig, 1976
",Olympic Games - History|Olympic Games - Architecture,796.48 WIM,Sydney,20/02/2006,
Olympics at 100 : a celebration in pictures,"Siddons, Larry","USA: Associated Press, 1995",Olympic Games - History,796.48 SID,Sydney,20/02/2006,
On a winner: 125 Years City Tattersalls Club,"Donnelly, Marea","Melbourne: Wilkinson Publishing, 2020",Tattersalls Club - Sydney - History|Horse Racing - Australia,798.4 DON,Sydney,15/06/2021,
On altering architecture,"Scott, Fred","London, Routledge, 2008",Conservation and Restoration|Architectural Philosophy|Interior Architecture|Repair and Reconstruction,729 SCO,Brisbane,,2/12/2009
On farming,"White, Mason (ed)|Przybylski, Maya","Barcelona: Actar, 2010",Landscape Design - Philosphy|Landscape Urbanism,712.01  BRA,Sydney,3/17/2011,
On the mend: revolutionizing healthcare to save lives and transform the industry,"Toussaint, John|Gerard, Roger|Adams, Emily","USA: Lean Institute, 2010",,658 TOU,Brisbane,,28/06/2010
On weaving,"Albers, Anni","Princeton, New Jersey: Princeton University Press, [2017]",Textile Design|Weaving,746.1 ALB,Brisbane,,12/02/2019
One hundred masterpieces from the Vitra Design Museum Collection,Vitra Design Museum,"Berlin: Vitra, 1996",Chairs - Design|Vitra Design Museum,729 VIT,Sydney,25/05/2005,
One thousand chairs,"Fiell, Charlotte|Fiell, Peter","London: Taschen, 1997",Chairs - Design,729 FIE,Brisbane|Sydney,25/05/2005,28/07/2008
Open-source architecture,"Ratti, Carlo|Claudel, Matthew","London: Thames &  Hudson, 2015",Architectural Design|Collaborative Working|Architectural Philosophy,720.1 RAT,Sydney,11/08/2016,
Opting for change : sustainable building in the Netherlands,"Hal, Anke van","Netherlands: Aeneas, 2000",Environmentally Sustainable Design (ESD)|Architecture - Netherlands,720.470492 HAL,Sydney,16/11/2006,
Origami design secrets: mathematical methods for an ancient art,"Lang, Robert","Boca Raton, FL: CRC Press, 2012",Origami,736.98 LAN,Sydney,7/12/2016,
Oscar Niemeyer: architecte d'un siecle,,"Paris: L'Architecture d'Aujourd'hui , 2013","Niemeyer, Oscar",720.92 NIE,Brisbane|Sydney,7/22/2013,7/22/2013
"Our cities, our future: a national urban policy for a productive, sustainable and liveable future",Australia. Department of Infrastructure and Transport,"Canberra: Dept of Infrastructure and Transport, 2011",,Reference,Sydney,3/26/2012,
Our voices II: the de-colonial project,"Kiddle, Rebecca|luugigyoo patrick stewart|O'Brien, Kevin","ORO Editions, 2021",Architecture and Anthropology|Indigenous Architecture,720.9 KID,Brisbane|Sydney,16/03/2021,16/03/2021
Our voices: indigeneity and architecture,"Kiddle, Rebecca|luugigyoo patrick stewart|O'Brien, Kevin","ORO Editions, 2018",Architecture and Anthropology|Indigenous Architecture,720.9 KID,Brisbane|Sydney,5/12/2018,5/12/2018
"Out of control: the new biology of machines, social systems and the economic world","Kelly, Kevin","New York: Basic Books, 1994",Technological Innovations|Inventions|Social Groups|Social Networks,338.064 KEL,Brisbane,,3/06/2009
Out of town : the country house,"Hyatt, Peter (ed)","Melbourne: Images Publishing, 2006",Country Houses|Environmentally Sustainable Design (ESD),728.6 HYA,Sydney,29/06/2006,
Outrigger design for high-rise buildings: an output of the CTBUH Outrigger Working Group,"Choi, Hi Sun|Council on Tall Buildings and Urban Habitat (CTBUH)","New York: Routledge, 2012",High Rise Buildings|Safety - Design|Scaffolding,720.483 CTBUH,Brisbane|Sydney,18/04/2018,9/30/2015
"Overcoming the  five dysfunctions of a team: a field guide for leaders, managers, and facilitators","Lencioni, Patrick","San Francisco: Jossey-Bass, 2005",Corporate Culture|Leadership|Teams in the Workplace,658.1 LEN,Sydney,8/07/2019,
Overgrown: practices between landscape architecture and gardening,"Raxworthy, Julian","Cambridge, Massachusetts: The MIT Press, 2018",Landscape Architecture|Landscape Design|Gardens,712 RAX,Brisbane,,21/10/2019
Papua New Guinea: the first 100 years,"Sinclair, James","Sydney: Robert Brown and Associates, 1985",Papua New Guinea - History,995.3 SIN,Brisbane,,
Paradigms of Indian architecture: space and time in representation and design,"Tillotson, G H R","Surrey, England: Curzon Press, 1998","Architecture - India - History|Architecture, Islamic",720.954 TIL,Sydney,11/03/2009,
Paris,"Moncan, Patrice de","Paris: Editions herme, 1999",Paris (France) - Pictorial works,919.436 MON,Sydney,13/11/2006,
Parking,,Italy: Edizioni Gribaudo 2007,Car Parking|Car Parks|Parking,725.38 PAR,Brisbane,,25/05/2009
Parliament House Canberra : a building for the nation,,"Sydney: NSW Chapter of RAIA, 1988",Government Buildings - Parliament|Urban Planning - Canberra,725.11099471 PAR,Sydney,12/06/2007,
Parliamentary Zone Development Plan,National Capital Development Commission,"Canberra: AGPS, September 1983",Urban Planning - Canberra|Government Buildings - Parliament,Archives SYD01511322,Sydney,13/12/2006,
Parliamentary Zone Development Plan,National Capital Development Commission,"Canberra: AGPS, March 1985",Crime Prevention|Government Buildings - Parliament|Urban Planning - Canberra,Archives SYD01511322,Sydney,12/21/2010,
Parliamentary Zone Development Plan,National Capital Development Commission,"Canberra: AGPS, June 1982",Urban Planning - Canberra|Government Buildings - Parliament,Archives SYD01511322,Sydney,12/21/2010,
Parliamentary Zone Development Plan,National Capital Development Commission,"Canberra: AGPS, January 1986",Urban Planning - Canberra|Government Buildings - Parliament,Archives SYD01511322,Sydney,12/21/2010,
Parliamentary zone review; outcomes,National capital Authority (NCA),,Government Buildings - Australia,Archives SYD01511323,Sydney,12/22/2010,
Parliamentary zone: planning and design study,National Capital Development Commission,,Government Buildings - Australia,Archives SYD01511322,Sydney,12/21/2010,
Parthenon and its impact on modern times,"Tournikiotis, Panayotis (ed)","Athens: Melissa Publishing, 1994",Architecture - Greece|Religious Buildings,726.1208 PAR,Sydney,9/08/2006,
Partnering and personal skills for project management mastery,"Patching, Alan","Sydney: APA, 1994",Project Management|Construction Industry|Management,658.404 PAT,Sydney,3/05/2007,
Pattern design: applications and variations,"Savoir, Lou Andrea","Beverly, Mass. : Rockport Publishers, 2007",Design and Decoration|Pattern Books,729 PAT,Sydney,7/29/2014,
"Patterns 2: design, art and architecture","Schmidt, Petra|Tietenberg, Annette|Wollheim, Ralf","Basel, Switzerland : Birkhauser, 2008",Art and Architecture|Design and Decoration|Pattern Books,729 PAT2,Brisbane,,25/06/2008
"Patterns in design, art and architecture","Schmidt, Petra|Tietenberg, Annette|Wollheim, Ralf","Basel, Switzerland : Birkhauser, 2005",Art and Architecture|Design and Decoration|Pattern Books,729 PAT,Brisbane|Sydney,11/10/2007,14/11/2007
"Patterns: design, architecture, interiors","Surya, Shirley","Berlin: DOM Publishers, 2008",Art and Architecture|Design and Decoration|Pattern Books,729 SUR,Brisbane,,24/10/2008
Paulo Mendes da Rocha : works and projects,"Spiro, Annette","Zurich: Niggli, 2002","Architects - Brazil|Architecture - Brazil|Mendes da Rocha, Paulo",720.92 ROC,Sydney,19/01/2006,
Pavilion propositions: nine points on an architectural phenomenon,"MacArthur, John (et al)","Amsterdam : Valiz, [2018]",Pavilions|Art and Architecture,724.6 PAV,Sydney,29/04/2019,
"Pedestrian bridges: ramps, walkways, structures","Keil, Andreas",,Pedestrian Bridges,624.2 DET,Sydney,3/25/2013,
Pedestrian planning and design,"Fruin, John","Alabama, USA: Elevator World, 1987",Pedestrian Facilities|Traffic Management,711.7 FRU,Sydney,5/23/2012,
Pentagram Architecture,,[nd],Pentagram Architects,720.922 PEN,Sydney,3/01/2012,
People analytics: how social sensing technology will transform business and what it tells us about the future of work,"Waber, Ben","New Jersey: FT Press, 2013",Social Media|Organisational Behaviour|Information Technology|Teams in the Workplace|Social Sensing Technology,302 WAB,Sydney,5/19/2015,
People and place : the contemporary architecture of Brisbane 1995,"Boddy, Adrian (ed)","Brisbane: QUT School of Architecture Interior and Industrial Design, 1995",Architecture - Brisbane,720.9943 PEO,Brisbane,,
People places : a guide for public library buildings in New South Wales,"Nesbitt, Heather|BVN Architecture (Bligh Voller Nield)","Sydney: Library Council of New South Wales, 2000",Libraries - Public - Design and Construction,727.809944 NES,Sydney,25/05/2005,
People places: a guide for public library buildings in New South Wales,"Nesbitt, Heather|BVN Architecture (Bligh Voller Nield)","Sydney: Library Council of New South Wales, 2005",Libraries - Public - Design and Construction,727.809944 NES,Brisbane|Sydney,20/04/2006,5/06/2006
People places: a guide for public library buildings in New South Wales,Francis-Jones Morehen Thorp (FJMT),"Sydney: Library Council of New South Wales, 2012",Libraries - Public - Design and Construction,727.809944 NES 2012,Brisbane|Sydney,14/09/2016,14/09/2016
Performance-based seismic design for tall buidings,Council on Tall Buildings and Urban Habitat (CTBUH),"[Chicago]: CTBUH, 2017",Earthquake Resistant Design|High Rise Buildings|Tall Buildings,720.483 CTBUH,Brisbane,,28/02/2018
Performing arts: space and facilities,,"Seoul, Korea: C3 Publishing, 2008",Performing Arts Centres|Concert Halls|Theatres|Music Buildings,725.83 PER,Sydney,1/31/2013,
Peter Hubner: building as a social process,"Blundell Jones, Peter","Stuttgart: Axel Menges, 2007","Architecture and Society|Hubner, Peter",720.92 BLU,Brisbane,,11/04/2017
Peter Stutchbury: of people and places: between the bush and the beach,"Drew, Philip|Leplastrier, Richard|Goad, Philip|Warren, Neilsen|Bingham-Hall, Patrick","Sydney: Pesaro Publishing, 2000","Stutchbury, Peter|Peter Stutchbury|Stutchbury & Pape",720.92 STU,Brisbane,,28/04/2010
Peter Stutchbury: selected projects,"Joy, Rick|Bingham-Hall, Patrick","Sydney: Pesaro Publishing, 2010","Stutchbury, Peter|Peter Stutchbury|Stutchbury & Pape",720.92 STU 2010,Brisbane,,1/25/2011
Peter Zumthor : Buildings and Projects 1985-2013,"Durisch, Thomas (ed)","Zurich: Scheidegger & Spiess, 2014","Zumthor, Peter",720.92 ZUM,Sydney,,7/23/2014
Peter Zumthor : Buildings and Projects 1985-2013,"Durisch, Thomas (ed)","Zurich: Scheidegger & Spiess, 2014","Zumthor, Peter",720.92 ZUM,Sydney,,7/23/2014
Peter Zumthor : Buildings and Projects 1985-2013,"Durisch, Thomas (ed)","Zurich: Scheidegger & Spiess, 2014","Zumthor, Peter",720.92 ZUM,Sydney,,7/23/2014
Peter Zumthor : Buildings and Projects 1985-2013,"Durisch, Thomas (ed)","Zurich: Scheidegger & Spiess, 2014","Zumthor, Peter",720.92 ZUM,Sydney,,7/23/2014
Peter Zumthor : Buildings and Projects 1985-2013,"Durisch, Thomas (ed)","Zurich: Scheidegger & Spiess, 2014","Zumthor, Peter",720.92 ZUM,Sydney,,7/23/2014
Peter Zumthor Therme Vals,"Hauser, Sigrid|Zumthor, Peter","Zurich: Scheidegger &  Spiess, 2007","Zumthor, Peter|Therme Vals",720.92 ZUM,Brisbane,,2013-Dec-03
Phaidon atlas of  21st century world architecture,,"London: Phaidon, 2008","Architecture, Modern - 21st Century",720 PHA,Brisbane|Sydney,25/11/2008,17/11/2008
Phaidon atlas of contemporary world architecture,,"London: Phaidon, 2004","Architecture, Modern - 20th Century|Architecture, Modern - 21st Century",720 PHA,Brisbane|Sydney,22/02/2006,6/25/2004
Philip's atlas of the world,,"London: George Philip, 1999",Atlases|Maps,912 PHI,Sydney,25/05/2005,
Photographs,,,Architectural Photography,779 LOT,Sydney,23/02/2010,
Piano: Renzo building workshop 1966 to today,"Jodidio, Philip","Koln: Taschen, 2008","Renzo Piano Building Workshop|Piano, Renzo",720.92 PIA,Sydney,7/29/2014,
Pictorial guide to identifying Australian architecture : styles and terms from 1788 to the present,"Apperly, Richard","Sydney: A&R, 1989",Architecture - Australia - History,720.994 APP,Brisbane|Sydney,22/02/2006,5/05/2006
Pictorial history of Balmain to Glebe,"Lawrence, Joan|Warne, Catherine","Sydney: Kingsclear Books, 1995",Balmain - History|Glebe - History,994.41 LAW,Sydney,7/02/2006,
Pictorial history of Blacktown and District,"Sharpe, Alan","Sydney: Kingsclear Books, 2000",Blacktown - History,994.41 SHA,Sydney,12/01/2006,
Pictorial history of Lower North Shore,"Warne, Catherine","Sydney: Kingsclear Books, 2005",Lower North Shore (NSW) - History,994.41 WAR,Sydney,7/02/2006,
Pictorial history of Randwick,"Lawrence, Joan","Sydney: Kingsclear Books, 2001",Randwick - History,994.41 LAW,Sydney,12/01/2006,
Pictorial history of South Sydney,"Whitaker, Anne-Maree","Sydney: Kingsclear Books, 2002",South Sydney - History,994.41 WHI,Sydney,7/02/2006,
Pictorial history of Sydney,"Sharpe, Alan","Sydney: Kingsclear Books, 2000",Sydney - History,994.41 SHA,Sydney,7/02/2006,
Picturing architecture: graphic presentation techniques in Australian architectural practice,"Peden, Anne|Luscombe, Desley","Sydney: Craftsman House, 1992",Architecture - Australia,720.22294 LUS,Brisbane,,
Pier Luigi Nervi,"Huxtable, Ada Louise","New York: George Braziller, 1960","Architecture - Italy|Nervi, Pier Luigi|Olympic Games - Architecture",720.92 NER,Brisbane|Sydney,9/08/2006,31/03/2008
Pierre Chareau - designer and architect,"Taylor, Brian Brace","Berlin: Benedikt Taschen , 1992","Chareau, Pierre|Interior Design",720.92 CHA,Brisbane,,Apr-94
Place makers: contemporary Queensland architects,,"South Brisbane, Qld.: Queensland Art Gallery, 2008",Architectural Design - Australia - Queensland|Architectural Practice - Australia|BVN Architecture (Bligh Voller Nield),720.99943 PLA,Brisbane|Sydney,,1/08/2008
"Place making: developing town centres, main streets and urban villages","Bohl, Charles C","Washington: Urban Land Institute, 2008",Urban Planning - USA,307 BOH,Sydney,5/02/2012,
"Places for learning: contemporary designs in architecture 2007, 2008",Council of Education Facilities Planners International (CEFPI),"Melbourne: CEFPI, 2007",Schools - Primary - Australia|Schools - Secondary - Australia|Educational Buildings - Australia|Educational Environments,727.994 CEFPI 07/08,Sydney,7/19/2011,
"Places for learning: contemporary designs in architecture 2009, 2010",Council of Education Facilities Planners International (CEFPI),"Melbourne: CEFPI, 2010",Schools - Primary - Australia|Schools - Secondary - Australia|Educational Buildings - Australia|Educational Environments,727.994 CEFPI 09/10,Sydney,7/19/2011,
